,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
61,rf_feature_selection_1year20,0.8744966442953019,Outcome,0.2284749984741211,0.022799921035766602,0.7166666666666667,0.14317073170731706,0.23088659721407173,0.8118258455071204
62,rf_feature_selection_1year20_oversample,0.7422818791946308,Outcome,0.6083327293395996,0.021565818786621095,0.30173137594278043,0.6637804878048781,0.4139619606275392,0.7812158530699866
63,rf_feature_selection_1year25,0.8697986577181209,Outcome,0.2034367561340332,0.021404170989990236,0.8642857142857142,0.05951219512195122,0.10828068035077365,0.8144831943252017
64,rf_feature_selection_1year25_oversample,0.7946308724832214,Outcome,0.6906947612762451,0.02280292510986328,0.3421129945323494,0.55,0.4199970944465433,0.7851138880857634
65,rf_feature_selection_1year30,0.8744966442953019,Outcome,0.243324613571167,0.024601840972900392,0.7250793650793651,0.15792682926829268,0.2487978305712101,0.8070491395032491
66,rf_feature_selection_1year30_oversample,0.8268456375838926,Outcome,0.7497022151947021,0.02487034797668457,0.38690937701165873,0.4753658536585366,0.42298747100422335,0.7900607144407341
67,decision_feature_selection_1year5,0.863758389261745,Outcome,0.059000158309936525,0.008199930191040039,0.4802020202020202,0.08926829268292684,0.1461389268885849,0.7447577215908799
68,decision_feature_selection_1year5_oversample,0.7120805369127517,Outcome,0.447536563873291,0.009300422668457032,0.28756181575058787,0.6091463414634146,0.3817161583070674,0.7234043795837921
69,decision_feature_selection_1year10,0.8590604026845637,Outcome,0.06121835708618164,0.008298444747924804,0.3780011655011655,0.10426829268292684,0.16012544870700485,0.7270244921366054
70,decision_feature_selection_1year10_oversample,0.7328859060402685,Outcome,0.46001505851745605,0.00959935188293457,0.29932183213777097,0.7176829268292683,0.42193087849173405,0.7450071186950672
71,decision_feature_selection_1year15,0.8651006711409396,Outcome,0.06170964241027832,0.00887603759765625,0.5160964035964036,0.12865853658536586,0.2016148104091325,0.7290060063357398
72,decision_feature_selection_1year15_oversample,0.7328859060402685,Outcome,0.44694366455078127,0.00879969596862793,0.29932183213777097,0.7176829268292683,0.42193087849173405,0.7450071186950672
73,decision_feature_selection_1year20,0.8651006711409396,Outcome,0.059799718856811526,0.00840001106262207,0.5160964035964036,0.12865853658536586,0.2016148104091325,0.7290060063357398
74,decision_feature_selection_1year20_oversample,0.7328859060402685,Outcome,0.4468963146209717,0.009000301361083984,0.29932183213777097,0.7176829268292683,0.42193087849173405,0.7450071186950672
75,decision_feature_selection_1year25,0.8651006711409396,Outcome,0.06059675216674805,0.009003353118896485,0.5160964035964036,0.12865853658536586,0.2016148104091325,0.7280757737776002
76,decision_feature_selection_1year25_oversample,0.7328859060402685,Outcome,0.44985737800598147,0.009000301361083984,0.29932183213777097,0.7176829268292683,0.42193087849173405,0.7450071186950672
77,decision_feature_selection_1year30,0.8651006711409396,Outcome,0.060599994659423825,0.00879979133605957,0.5160964035964036,0.12865853658536586,0.2016148104091325,0.7276107457810168
78,decision_feature_selection_1year30_oversample,0.7328859060402685,Outcome,0.469527530670166,0.00983738899230957,0.29932183213777097,0.7176829268292683,0.42193087849173405,0.7450071186950672
